name,channelLink,niche,subject,body
Bro Code,https://www.youtube.com/@BroCodez,Coding & Software Engineering,Collaboration Opportunity for Bro Code,"Hi Bro Code,

I came across your channel and your Java and software engineering tutorials that break complex topics down for beginners.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI-powered coding assistant that helps learners debug and understand Java concepts faster.

Would this be relevant to you?

Best,
Dhurim Halili"
Two Minute Papers,https://www.youtube.com/@TwoMinutePapers,AI Research Summaries,Collaboration Opportunity for Two Minute Papers,"Hi Two Minute Papers,

I came across your channel and how you distill cutting-edge AI research papers into accessible two-minute breakdowns.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI research discovery platform that surfaces the latest papers and generates plain-English summaries for researchers and enthusiasts.

Would this be relevant to you?

Best,
Dhurim Halili"
The Coding Train,https://www.youtube.com/@TheCodingTrain,Creative Coding & JS,Collaboration Opportunity for The Coding Train,"Hi The Coding Train,

I came across your channel and your creative coding challenges and p5.js projects that make programming feel like art.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI creative coding companion that helps viewers experiment with generative art and JavaScript faster.

Would this be relevant to you?

Best,
Dhurim Halili"
Corey Schafer,https://www.youtube.com/@coreyms,Python & Software Dev,Collaboration Opportunity for Corey Schafer,"Hi Corey Schafer,

I came across your channel and your deep-dive Python tutorials on Django, Flask, and real-world software development.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI Python tutor chatbot that gives learners instant help while following along with your tutorials.

Would this be relevant to you?

Best,
Dhurim Halili"
Sentdex,https://www.youtube.com/@sentdex,Machine Learning & Python,Collaboration Opportunity for Sentdex,"Hi Sentdex,

I came across your channel and your hands-on Python and machine learning projects from finance to robotics.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI/ML experimentation platform that lets developers prototype models and chat with their datasets.

Would this be relevant to you?

Best,
Dhurim Halili"
Amigoscode,https://www.youtube.com/@amigoscode,Backend Systems & AI Microservices,Collaboration Opportunity for Amigoscode,"Hi Amigoscode,

I came across your channel and your backend engineering and AI microservices content for developers building production systems.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI agent platform for deploying production-ready chatbot and microservice backends.

Would this be relevant to you?

Best,
Dhurim Halili"
Siraj Raval,https://www.youtube.com/@sirajraval,AI & Machine Learning,Collaboration Opportunity for Siraj Raval,"Hi Siraj Raval,

I came across your channel and your energetic AI and machine learning tutorials that get people excited to build with ML.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an all-in-one AI builder toolkit for creating chatbots, agents, and ML-powered apps without heavy setup.

Would this be relevant to you?

Best,
Dhurim Halili"
Coding with Lewis,https://www.youtube.com/@CodingWithLewis,Software Engineering Lifestyle,Collaboration Opportunity for Coding with Lewis,"Hi Coding with Lewis,

I came across your channel and your honest software engineering lifestyle content and day-in-the-life perspective on tech careers.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI productivity assistant built for developers who want to ship faster and stay organized.

Would this be relevant to you?

Best,
Dhurim Halili"
Low Level Learning,https://www.youtube.com/@LowLevelLearning,Systems Programming & C,Collaboration Opportunity for Low Level Learning,"Hi Low Level Learning,

I came across your channel and your systems programming deep dives and C language content that goes beneath the abstractions.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI coding assistant optimized for low-level and systems programming workflows.

Would this be relevant to you?

Best,
Dhurim Halili"
The Primeagen,https://www.youtube.com/@ThePrimeagen,Dev Tools & Code Architecture,Collaboration Opportunity for The Primeagen,"Hi The Primeagen,

I came across your channel and your hot takes on developer tooling, Vim, and building better software architecture.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote a next-gen AI dev tool that integrates directly into developer workflows and speeds up code review and refactoring.

Would this be relevant to you?

Best,
Dhurim Halili"
Caleb Curry,https://www.youtube.com/@CalebCurry,Beginner Programming,Collaboration Opportunity for Caleb Curry,"Hi Caleb Curry,

I came across your channel and your structured beginner programming courses that make fundamentals approachable.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI tutoring chatbot designed for programming beginners who need instant answers while learning.

Would this be relevant to you?

Best,
Dhurim Halili"
CodingEntrepreneurs,https://www.youtube.com/@CodingEntrepreneurs,AI Product Dev & Django,Collaboration Opportunity for CodingEntrepreneurs,"Hi CodingEntrepreneurs,

I came across your channel and your Django and AI product development tutorials for builders launching real SaaS products.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI SaaS starter kit with built-in chatbot and agent features for indie founders.

Would this be relevant to you?

Best,
Dhurim Halili"
Wes Roth,https://www.youtube.com/@WesRoth,AI News & Agentic Workflows,Collaboration Opportunity for Wes Roth,"Hi Wes Roth,

I came across your channel and your daily AI news coverage and breakdowns of agentic AI workflows shaping the industry.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI agent platform launching new autonomous workflow tools your audience would want to see first.

Would this be relevant to you?

Best,
Dhurim Halili"
